KOD_SUKL;DATOD;DATDO;POVOL_BALENI;UCEL;PRACOVISTE;DISTRIBUTOR;POZNAMKA;PREDKLADATEL;VYROBCE
0207280;27.01.2022;31.12.2025;270000;Léčba infekcí způsobených citlivými kmeny Klebsiella, Staphylococcus aureus, enterokoky a Escherichia coli. Jedná se o léčbu infekcí močových cest, zánětu močového měchýře (cystitidy), prostatitidy, pooperačních infekcí a po prostatektomii. Přípravek není určen k léčbě malých dětí.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;společnost AV Medical CZ s.r.o., se sídlem Dobronická 1257, 148 00 Praha 4 ? Kunratice.;Léčivý přípravek je možné distribuovat do 31. 12. 2022. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho doby použitelnosti.;Euphar s.r.o., Zlíchovská 193/5, 143 00 Praha 4;IASIS PHARMA, 137 Filis Ave., 134 51 Kamatero, Atény, Řecko
0207608;06.12.2022;30.11.2024;300;Profylaxe a léčba atak u hereditárního angioedému (HAE) u pacientů starších 18 let.;"-Ústav klinické imunologie a alergologie, Fakultní nemocnice u sv. Anny v Brně, Pekařská 664/53, 602 00 Brno,
-Ústav imunologie 2. LF UK a FN Motol, Fakultní nemocnice v Motole, V Úvalu 84, 150 06 Praha 5,
-Ústav imunologie a alergologie, Fakultní nemocnice Plzeň, alej Svobody 80, 304 60 Plzeň-Lochotín,
-Ústav klinické imunologie a alergologie, Fakultní nemocnice Hradec Králové, Sokolská 581, 500 05 Hradec Králové - Nový Hradec Králové.";sanofi-aventis, s.r.o., Evropská 846/176a, 160 00 Praha 6-Vokovice;;Fakultní nemocnice u sv. Anny, Pekařská 664/53, Brno, 602 00;Zentiva, k.s., U Kabelovny 130, 102 37 Praha 10, Česká republika
0207633;07.04.2021;30.04.2026;500;"Zajištění pohotovostní zásoby léčivého přípravku pro léčbu infekcí způsobených motolicemi (Trematoda), jako jsou schistozomózy (např. Schistosoma haematobium, Schistosoma mansoni, Schistosoma intercalatum, Schistosoma japonicum, Schistosoma mekongi), motolicí jaterní (např. Clonorchis sinensis, Opisthorchis viverrini) a motolicí plicní (např. Paragonimus westermani a jiné druhy) a současně pro léčbu infekcí způsobených tasemnicemi (Cestoda) jako jsou teniózy (např. Taenia saginata, Tania solium), cysticerkózy (např. např. Taenia saginata, Tania solium), difylobotriózy (Diphyllobothrium latum), sparganózy (např. některé druhy rodu Spirometra) a jiných infekcí způsobených tasemnicemi.
Vzhledem k tomu, že v souhrnu údajů o přípravku nejsou uvedeny dávky pro použití při léčbě infekcí způsobených tasemnicemi, doporučuje se léčbu infekcí způsobených tasemnicemi konzultovat s infektologem.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Bayer AG, 51368 Leverkusen, Německo
0207634;24.05.2021;31.05.2026;300;Zajištění pohotovostní zásoby léčivého přípravku pro léčbu dospělých pacientů s tuberkulózou jakékoliv lokalizace způsobené kmenem Mycobacterium tuberculosis rezistentní nejméně na dvě základní antituberkulotika (isoniazid, rifampicin, streptomycin a ethambutol).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;;Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Vianex S.A. Plant C, 16th km Leoforos Marathonos, 153 51, Pallini, Attiki Řecko
0207635;24.05.2021;31.05.2026;;Zajištění pohotovostní zásoby léčivého přípravku pro intravenózní a inhalační léčbu pneumocystové pneumonie (původce Pneumocystis carinii) oslabených pacientů či pacientů se sníženou obranyschopností organismu, jako např. u pacientů s AIDS, a pro léčbu africké trypanozomózy (původce Trypanosoma gambiense).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství Všeobecné fakultní nemocnice v Praze).;PHOENIX lékárenský velkoobchod, s.r.o., K pérovně 945/7, Hostivař, 102 00 Praha 10;"300 lahviček
(platí pro obě velikosti balení)";Všeobecná fakultní nemocnice v Praze, prostřednictvím Toxikologického informačního střediska Kliniky pracovního lékařství;Sanofi S.p.A. Viale Luigi Bodio, 37/B 20158 Milano, Itálie
0207641;03.04.2023;31.07.2023;31;"Zajištění léčivého přípravku pro diagnostické scintigrafické vyšetření hepatobiliárních funkcí při:
- podezření na akutní cholecystitidu,
- podezření na chronické změny na žlučovodech,
- podezření na ucpání (okluzi) ductus choledochus,
- podezření na vrozené vady žlučového systému, např. atrézii,
- zjištění úniku žluči,
- diferenciální diagnostice obsazenosti intrahepatálního prostoru (podezření na fokální nodulární hyperplazii, podezření na rakovinu jater).";Kliniky (oddělení) nukleární medicíny poskytovatelů zdravotních služeb formou ambulantní nebo lůžkové péče.;KC SOLID, spol. s r.o., Míru 16, 337 01 Rokycany;;KC SOLID, spol. s r.o., Míru 16, 337 01 Rokycany;ROTOP Pharmaka GmbH, Bautzner Landstrasse 400, 01328, Dresden, Německo
0207756;01.08.2020;31.07.2023;342000;Léčba akutních a chronických onemocnění dýchacích cest s bronchospasmy a s narušenou tvorbou a transportem sekretu, zejména: akutní bronchitidy, chronického bronchiálního astmatu, emfyzému, laryngotracheitidy, bronchiektázie a cystické fibrózy. Přípravek je určen pro děti do 12 let věku.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical Consulting s.r.o., ČR.;;AV Medical Consulting s.r.o., Ostrava-Poruba, ČR;Laboratórios Basi - Indústria Farmaceutica, S.A., Mortágua, Portugalsko
0207777;01.02.2022;28.02.2025;3750;"Léčivý přípravek je indikován u dospělých mužů k léčbě hypogonadotropního hypogonadismu (i v případě idiopatických dysspermií) a k ověření funkční schopnosti varlat při hypogonadotropním hypogonadismu. U dětí je léčivý přípravek indikován při opožděné pubertě chlapců spojené s nedostatečnou hypofyzární sekrecí gonadotropinů; kryptorchismem, který není způsoben anatomickou obstrukcí a k diferenciální diagnóze varlete v dutině břišní a anorchismu.
";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče poskytující péči v oborech sexuologie, andrologie, dětské lékařství, praktické lékařství pro děti a dorost, dětská gynekologie, endokrinologie.;FERRING Pharmaceuticals CZ s.r.o.;;FERRING Pharmaceuticals CZ s.r.o., K Rybníku 475, 252 42 Jesenice u Prahy;Ferring GmbH, Wittland 11, D-24109 Kiel, Německo
0207779;01.01.2023;31.12.2025;18000;Léčba reverzibilního bronchospasmu u mírného až středně závažného atopického a neatopického bronchiálního astmatu a komplexní léčba bronchiální obstrukce různé etiologie u dospělých a dětí od 6 let věku.;poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče;AV Medical CZ s.r.o., Dobronická 1257, 148 00 Praha 4 - Kunratice, Česká republika;;AV Medical CZ s.r.o., Dobronická 1257, 148 00 Praha 4 - Kunratice, Česká republika;SOPHARMA AD, Iliensko Shose Str. 16, 1220 Sofia, Bulharsko
0231686;01.07.2023;30.06.2026;12600;Léčba paroxysmální supraventrikulární tachykardie a snížení frekvence komor při flutteru/fibrilaci síní u pacientů bez omezení věku a pohlaví.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical CZ s.r.o., Dobronická 1257, 148 00 Praha 4;;AV Medical CZ s.r.o., Dobronická 1257, 148 00 Praha 4;SOPHARMA AD, 16, Iliensko Shosse Street, 1220 Sofia, Bulharsko
0231726;27.05.2021;31.12.2026;47000;Léčba infekčních onemocnění vyvolaných patogeny vysoce citlivými na peniciliny u dospělých a dětí: infekce horních cest dýchacích (zejména infekce streptokokem skupiny A), primární a sekundární syfilis, latentní syfilis, terciální syfilis u dospělých, vrozená syfilis u dětí s výjimkou novorozenců s prokázanou nebo vysoce pravděpodobnou vrozenou syfilitidou, frambézie, endemická syfilis (bejel), pinta. Profylaxe revmatické horečky a diftérie (včetně odstranění asymtomatického stavu u nosiče). Vzhledem k obsahu pomocné látky lidocaini hydrochloridum lze přípravek LENTOCILIN používat s opatrností při kardiovaskulární, jaterní nebo renální dysfunkci, zánětu a/nebo infekci v místě injekce, u dětí, starších pacientů a pacientů s akutním onemocněním nebo oslabených pacientů, u pacientů užívajících sedativa působící na CNS.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical CZ s.r.o, se sídlem Dobronická 1257, Kunratice, 148 00 Praha 4.;Léčivý přípravek je možné distribuovat do 31. 12. 2022. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho doby použitelnosti.;AV Medical CZ s.r.o, se sídlem Dobronická 1257, Kunratice, 148 00 Praha 4;Laboratórios Atral, S. A., Rua da Estaçao 42, Vala do Carregado, 2600 ? 726 Castanheira do Ribatejo, Portugalsko
0231726;10.12.2020;31.03.2024;13103;"Dle souhrnu údajů o přípravku (SPC):
Léčba infekčních onemocnění vyvolaných patogeny vysoce citlivými na peniciliny u dospělých a dětí infekce horních cest dýchacích (zejména infekce streptokokem skupiny A), primární a sekundární syfilis, latentní syfilis, terciální syfilis u dospělých, vrozená syfilis u dětí s výjimkou novorozenců s prokázanou nebo vysoce pravděpodobnou vrozenou syfilitidou, frambézie, endemická syfilis (bejel), pinta. Profylaxe revmatické horečky a diftérie (včetně odstranění asymtomatického stavu u nosiče). Vzhledem k obsahu pomocné látky lidocaini hydrochloridum lze přípravek LENTOCILIN S používat s opatrností při kardiovaskulární, jaterní nebo renální dysfunkci, zánětu a/nebo infekci v místě injekce, u dětí, starších pacientů a pacientů s akutním onemocněním nebo oslabených pacientů, u pacientů užívajících sedativa.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče;AV Medical CZ s.r.o., se sídlem Dobronická 1257, Kunratice, 148 00 Praha 4.;"Léčivý přípravek LENTOCILIN je možné distribuovat do 31. 8. 2021. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho doby použitelnosti.
Číslo šarže: Počet balení - použitelnost do:

šarže J004J019601J: počet balení 217 - do 31.3.2024,

šarže J004J020582J: počet balení 3606 - do 31.3.2024,

šarže J004J021583J: počet balení 4362 - do 31.3.2024,

šarže J004J022584J: počet balení 4344 - do 31.3.2024,

šarže J004J023585J: počet balení 574 - do 31.3.2024
";AV Medical CZ s.r.o., se sídlem Dobronická 1257, Kunratice, 148 00 Praha 4;Laboratórios Atral, S. A., Rua da Estaçao 42, Vala do Carregado, 2600 ? 726 Castanheira do Ribatejo, Portugalsko
0231726;25.06.2018;31.12.2024;96000;"Dle souhrnu údajů o přípravku (SPC):
Léčba infekčních onemocnění vyvolaných patogeny vysoce citlivými na peniciliny u dospělých a dětí - infekce horních cest dýchacích (zejména infekce streptokokem skupiny A), primární a sekundární syfilis, latentní syfilis, terciální syfilis (u dospělých), vrozená syfilis (u dětí; u novorozenců s prokázanou nebo vysoce pravděpodobnou vrozenou syfilitidou se podávání benzathin-benzylpenicilinu nedoporučuje), frambézie, endemická syfilis (bejel), pinta)
Profylaxe revmatické horečky a diftérie (včetně odstranění asymtomatického stavu u nosiče).
Vzhledem k obsahu pomocné látky lidocaini hydrochloridum lze přípravek LENTOCILIN S používat s opatrností - při kardiovaskulární, jaterní nebo renální dysfunkci, zánětu a/nebo infekci v místě injekce, u dětí, starších pacientů a pacientů s akutním onemocněním nebo oslabených pacientů, u pacientů užívajících sedativa.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical Consulting s.r.o., ČR.;Léčivý přípravek možné distribuovat do 31. 12. 2020. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho použitelnosti.;AV Medical Consulting s.r.o., Svojsíkova 1591/5, 708 00 Ostrava, Česká republika;Laboratorios Atral, S.A., Castanheira do Ribatejo, Portugalsko
0231726;16.12.2022;31.12.2027;55800;"Léčba infekčních onemocnění vyvolaných patogeny vysoce citlivými na peniciliny
u dospělých a dětí: infekce horních cest dýchacích (zejména infekce vyvolané
streptokokem skupiny A), primární a sekundární syfilis, latentní syfilis, terciální syfilis
u dospělých, vrozená syfilis u dětí s výjimkou novorozenců s prokázanou nebo
vysoce pravděpodobnou vrozenou syfilitidou, frambézie, endemická syfilis (bejel),
pinta. Profylaxe revmatické horečky a diftérie (včetně eliminace asymtomatického
přenašeče). Vzhledem k obsahu pomocné látky lidocaini hydrochloridum lze
přípravek LENTOCILIN používat s opatrností při kardiovaskulární, jaterní nebo
renální dysfunkci, zánětu a/nebo infekci v místě vpichu nebo citlivosti na lokální
anestetika amidového typu, u dětí, starších pacientů a pacientů s akutním
onemocněním nebo oslabených pacientů, u pacientů se souběžnou léčbou léčivy
tlumícími CNS.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical CZ s.r.o., Dobronická 1257, Kunratice, 148 00 Praha 4, Česká republika;V souladu s tímto rozhodnutím je léčivý přípravek možné distribuovat do 31. 12. 2023. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho doby použitelnosti.;AV Medical CZ s.r.o., Dobronická 1257, Kunratice, 148 00 Praha 4, Česká republika;Laboratórios Atral, SA, Rua da Estaçao, no.s 1 e 1A, 2600-726 Castanheira do Ribatejo, Portugalsko
0231729;10.08.2020;31.12.2023;96;"Léčivý přípravek je indikován k přípravě dospělých pacientů (mužů i žen)
před autologní transplantací kostní dřeně a v monoterapii jako paliativní léčba nebo
jako součást kombinované terapie s jinými chemoterapeutiky v následujících
indikacích:
? nádory mozku ? glioblastom, meduloblastom, astrocytom, a metastatické
mozkové nádory,
? mnohočetný myelom ? v kombinaci s glukokortikoidy, jako je prednison,
? Hodgkinova nemoc ? jako sekundární terapie v kombinaci s dalšími schválenými
látkami u pacientů s relapsem po primární terapii, nebo u nichž primární terapie
zůstala bez efektu,
? Non-Hodgkinské lymfomy ? jako sekundární terapie v kombinaci s jinými
schválenými látkami u pacientů s relapsem po primární terapii nebo u nichž
primární terapie zůstala bez efektu.
Indikace nádory mozku, mnohočetný myelom, Hodgkinova nemoc, Non-Hodgkinský
lymfom jsou v souladu se souhrnem údajům o přípravku (SPC). Indikace přípravy
pacientů před autologní transplantací kostní dřeně není uvedena v SPC, tato indikace
je podložena vyjádřením odborné společnosti a odkazem na protokol léčby,
tzv. BEAM protokol, přípravný režim pro přípravu pacientů před transplantací kostní
dřeně, jejíhož součástí je podáni cytostatika carmustinu. Tento protokol je uveden
v tzv. ?Červené knize? - Léčebné postupy v hematologii, jež jsou doporučeními České
hematologické společností České lékařské společnosti Jana Evangelista Purkyně
(ČHS ČLS JEP)
http://www.hematology.cz/doporuceni/klinika-files/Doporuceni_CHS_CLS_JEPCervena_
kniha.pdf";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče v oborech hematologie (včetně pracovišť provádějících autologní transplantace kostní dřeně), hematoonkologie a onkologie.;ARDEZ Pharma, spol. s r.o., ČR.;"Léčivý přípravek je možné distribuovat
do 31. 12. 2020. Léčivý přípravek dodaný do lékáren je možné vydávat a používat
při poskytování zdravotních služeb po dobu jeho použitelnosti.";ARDEZ Pharma, spol.s.r.o, V Borovičkách 278, 252 26 Kosoř;Emcure Pharma UK Limited, Luton, Velká Británie
0231732;25.07.2018;31.07.2023;40000;"Paliativní léčba nádorových onemocnění.
Mitomycin se podává intravenózně v rámci monochemoterapie nebo v rámci kombinované cytostatické chemoterapie v případě:
pokročilého metastazujícího karcinomu žaludku
pokročilého a/nebo metastazujícího karcinomu prsu
Mitomycin se podává intravenózně v rámci kombinované chemoterapie v případě
nemalobuněčného bronchogenního karcinomu
pokročilého karcinomu pankreatu
Intravezikálně se podává jako prevence relapsu karcinomu močového měchýře po jeho předchozí transuretrální resekci.
";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;ARDEZ Pharma, spol. s r.o., ČR.;Léčivý přípravek je možné distribuovat do 31. 7. 2020. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho použitelnosti.;ARDEZ Pharma, spol. a r.o., V Borovičkách 278, 252 26 Kosoř;Thymoorgan Pharmazie GmbH, Vienenburg, Německo
0231733;24.07.2018;31.12.2023;125000;"Dle příbalové informace (PIL):
Léčba a profylaxe infekcí vyvolaných bakteriemi citlivými na penicilin: hemolytické a viridující streptokoky, zlatý  stafylokok  neprodukující  penicilinázu,  gonokoky,  spirochety  a  klostridie u dětí a dospělých. Výběr a dávkování příslušného přípravku pro každého pacienta jsou na rozhodnutí lékaře reflektující aktuální doporučené postupy a Koncesus používání antibiotik I. (penicilinová antibiotika) vypracované Subkomisí pro antibiotickou politiku České lékařské společnosti J. E. Purkyně, z.s., v souladu se zásadami národní antibiotické politiky.
";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;ARDEZ Pharma, spol. s r.o., ČR.;Léčivé přípravky je možné distribuovat do 31. 12. 2020. Léčivé přípravky dodané do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jejich použitelnosti.;ARDEZ Pharma, spol. s.r.o., V Borovičkách 278, 252 26 Kosoř;Laboratorio Reig Jofré S.A., Barcelona, Španělsko
0231734;24.07.2018;31.12.2023;125000;"Dle příbalové informace (PIL):
Léčba a profylaxe infekcí vyvolaných bakteriemi citlivými na penicilin: hemolytické a viridující streptokoky, zlatý  stafylokok  neprodukující  penicilinázu,  gonokoky,  spirochety  a  klostridie u dětí a dospělých. Výběr a dávkování příslušného přípravku pro každého pacienta jsou na rozhodnutí lékaře reflektující aktuální doporučené postupy a Koncesus používání antibiotik I. (penicilinová antibiotika) vypracované Subkomisí pro antibiotickou politiku České lékařské společnosti J. E. Purkyně, z.s., v souladu se zásadami národní antibiotické politiky.
";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;ARDEZ Pharma, spol. s r.o., ČR.;Léčivé přípravky je možné distribuovat do 31. 12. 2020. Léčivé přípravky dodané do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jejich použitelnosti.;ARDEZ Pharma, spol. s.r.o., V Borovičkách 278, 252 26 Kosoř;Laboratorio Reig Jofré S.A., Barcelona, Španělsko
0231735;24.07.2018;31.12.2023;125000;"Dle příbalové informace (PIL):
Léčba a profylaxe infekcí vyvolaných bakteriemi citlivými na penicilin: hemolytické a viridující streptokoky, zlatý  stafylokok  neprodukující  penicilinázu,  gonokoky,  spirochety  a  klostridie u dětí a dospělých. Výběr a dávkování příslušného přípravku pro každého pacienta jsou na rozhodnutí lékaře reflektující aktuální doporučené postupy a Koncesus používání antibiotik I. (penicilinová antibiotika) vypracované Subkomisí pro antibiotickou politiku České lékařské společnosti J. E. Purkyně, z.s., v souladu se zásadami národní antibiotické politiky.
";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;ARDEZ Pharma, spol. s r.o., ČR.;Léčivé přípravky je možné distribuovat do 31. 12. 2020. Léčivé přípravky dodané do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jejich použitelnosti.;ARDEZ Pharma, spol. s.r.o., V Borovičkách 278, 252 26 Kosoř;Laboratorio Reig Jofré S.A., Barcelona, Španělsko
0231736;12.12.2018;30.09.2023;250;Léčba botulismu.;Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství VFN, Praha 2).;"PHARMOS, a.s., Ostrava, ČR; Phoenix lékárenský velkoobchod, s.r.o., Praha 10, ČR.";250 (platí pro velikost balení 1x10ml nebo 5x10ml).;Všeobecná fakultní nemocnice v Praze, U Nemocnice 2, 128 08 Praha 2, ČR;Wytwórnia Surowic i Szczepionek BIOMED Sp. z o. o., Warszawa, Polsko
0231740;25.07.2022;31.07.2025;330;"Zajištění léčivého přípravku k profylaxi malárie vyvolané Plasmodium falciparum u jedinců s tělesnou hmotností 11-40 kg; a k léčbě akutní nekomplikované malárie vyvolané Plasmodium falciparum u dětí s tělesnou hmotností větší nebo rovnou 5 kg a < 11 kg.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;GlaxoSmithKline, s.r.o., Hvězdova 1734/2c, 140 00 Praha 4;;GlaxoSmithKline, s.r.o., Hvězdova 1734/2c, 140 00 Praha 4;"Glaxo Wellcome, S. A., Avenida de Extremadura, 3, 09400 Aranda de Duero, Burgos, Španělsko 
Aspen Bad Oldesloe GmbH, Industriestrasse 32-36, 23843 Bad Oldesloe, Německo"
0231842;18.09.2018;30.09.2023;120;Léčba botulismu.;Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství VFN, Praha 2).;"PHARMOS, a.s., Ostrava, ČR; Phoenix lékárenský velkoobchod, s.r.o., Praha 10, ČR.";120 injekčních lahviček (platí dohromady pro velikost balení 1x20ml nebo 1x50ml).;Všeobecná fakultní nemocnice v Praze, U nemocnice 2, 128 08 Praha 2;Emergent BioSolutions Canada Inc.,, Winnipeg, Kanada
0231843;18.09.2018;30.09.2023;120;Léčba botulismu.;Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství VFN, Praha 2).;"PHARMOS, a.s., Ostrava, ČR; Phoenix lékárenský velkoobchod, s.r.o., Praha 10, ČR.";120 injekčních lahviček (platí dohromady pro velikost balení 1x20ml nebo 1x50ml).;Všeobecná fakultní nemocnice v Praze, U nemocnice 2, 128 08 Praha 2;Emergent BioSolutions Canada Inc.,, Winnipeg, Kanada
0231976;01.03.2023;28.02.2025;3000;Zajištění léčivého přípravku s léčivou látkou pyrazinamid k léčbě aktivní tuberkulózy vyvolané Mycobacterium tuberculosis (v kombinaci s dalšími antituberkulotiky), a to pro léčbu pacientů od 3 měsíců věku. Pyrazinamid se smí používat pouze v kombinaci s dalšími léčivými přípravky (isoniazidem, rifampicinem, ethambutolem), které působí na bakterii Mycobacterium tuberculosis. Pokud se pyrazinamid používá samostatně, rychle dochází k rozvoji rezistence (během 6 až 8 týdnů). Pyrazinamid není aktivní proti atypickým mykobakteriím.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4 - Lhotka;;BIOTIKA BOHEMIA spol. s r.o., Durychova 101/66, 142 00 Praha 4 - Lhotka;KRKA, d.d., Šmarješka cesta 6, 8501 Novo mesto, Slovinsko
0231977;04.01.2023;31.12.2024;200;Zajištění léčivého přípravku pro neinvazivní včasnou diagnostiku transthyretinové srdeční amyloidózy (hereditární či senilní) metodami nukleární medicíny.;Pracoviště (oddělení) nukleární medicíny poskytovatelů zdravotních služeb formou ambulantní nebo lůžkové péče.;KC SOLID, spol. s r.o., ul. Míru 16, 337 01 Rokycany;;KC SOLID, spol. s r.o., ul. Míru 16, 337 01 Rokycany;CIS bio international, RN 306 - Saclay, BP 32, F-91192, GIF-SUR-YVETTE Cedex, Francie
0231978;12.12.2018;30.09.2023;250;Léčba botulismu.;Poskytovatelé zdravotních služeb formou ambulantní nebo lůžkové péče (koordinace léčebného programu: Toxikologické informační středisko Kliniky pracovního lékařství VFN, Praha 2).;"PHARMOS, a.s., Ostrava, ČR; Phoenix lékárenský velkoobchod, s.r.o., Praha 10, ČR.";250 (platí pro velikost balení 1x10ml nebo 5x10ml).;Všeobecná fakultní nemocnice v Praze, U Nemocnice 2, 128 08 Praha 2, ČR;Wytwórnia Surowic i Szczepionek BIOMED Sp. z o. o., Warszawa, Polsko
0232059;29.01.2019;31.12.2024;20000;Léčba Parkinsonovy nemoci nebo symptomatického parkinsonismu.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;Movianto Česká republika s.r.o., Podolí, ČR.;Léčivý přípravek možné distribuovat do 31. 12. 2019. Léčivý přípravek dodaný do lékáren je možné vydávat a používat při poskytování zdravotních služeb po dobu jeho použitelnosti.;Medochemie Bohemia spol. s r.o., Lehárova 1808/11, 143 00 Praha 4, ČR;Medochemie Ltd., Limassol, Kypr
0232059;02.01.2023;31.12.2025;24000;Zajištění léčivého přípravku s léčivou látkou selegilini hydrochloridum pro léčbu Parkinsonovy nemoci nebo symptomatického parkinsonismu u dospělých pacientů.;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;Movianto Česká republika s.r.o., Podolí 78e, 664 03 Podolí, ČR;;Medochemie Bohemia, spol. s r.o., Vyskočilova 1566, Michle, 140 00 Praha 4;MEDOCHEMIE LTD, 1-10 Constantinoupoleos St., 3011 Limassol, Kypr
0232060;24.02.2022;28.02.2025;79200;"Léčba akutních a chronických infekcí močových cest a profylaktická léčba pacientů se sklony k recidivujícím infekcím močovým cest; léčba akutní a chronické bronchitidy, bronchopneumonie a lobární pneumonie.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical CZ s.r.o.;;AV Medical CZ s.r.o., Dobronická 1257, 148 00 Praha 4;Crescent Pharma Limited, Unit 3 & 4, Quidhampton Business Units, Polhampton Lane, Overton, Hampshire, RG25 3ED, Spojené království Velké Británie a Severního Irska
0232463;17.02.2022;28.02.2025;18000;Léčba hypovitaminózy A. Pomocná léčba při léčbě kožních nemocí (akné, ichtyóza).;Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical CZ s.r.o.;;AV Medical CZ s.r.o., Dobronická 1257, 148 00 Praha 4;PRZEDSIĘBIORSTWO PRODUKCJI FARMACEUTYCZNEJ HASCO-LEK S.A., ul. Żmigrodzka 242 E, 51-131 Wrocław, Polsko
0232464;17.02.2022;28.02.2025;9000;"Zajištění léčivého přípravku obsahujícího kombinaci léčivých látek levodopum a carbidopum monohydricum v perorální lékové formě tablety s prodlouženým uvolňováním pro léčbu dospělých pacientů v těchto terapeutických indikacích:
- idiopatická Parkinsonova choroba,
- postencefalitický parkinsonismus,
- symptomatický parkinsonismus (intoxikace oxidem uhelnatým nebo manganem),
- u pacientů s Parkinsonovou chorobou nebo parkinsonismem, kteří užívají vitaminové přípravky s obsahem pyridoxinu,
- ke snížení fenoménu vyloučení u pacientů v minulosti léčených léčivými přípravky obsahujícími levodopu/inhibitor dekarboxylázy nebo pouze levodopu, kteří měli motorické fluktuace vyznačující se zhoršením spojeným s fenoménem konce dávky, dyskinézy spojené s maximální hladinou po podané dávce, akinéza nebo podobné formy krátkodobých poruch hybnosti.
Léčivý přípravek je určen pacientům, u kterých je léková forma tablet s řízeným (prodlouženým) uvolňováním vhodná pro usnadnění kontroly příznaků Parkinsonovy nemoci zejména během noci a v ranních hodinách.";Poskytovatelé zdravotních služeb formou ambulantní a lůžkové péče.;AV Medical CZ s.r.o.;;AV Medical CZ s.r.o.., Dobronická 1257, 148 00 Praha 4;Tchaikapharma High Quality Medicines Inc., 1 G. M. Dimitrov Blvd., 1172 Sofia, Bulharsko
