ATC;NT;NAZEV;NAZEV_EN
C02AA;N;RAUWOLFIOVÉ ALKALOIDY;RAUWOLFIA ALKALOIDS
C02AA01;N;RESCINAMIN;RESCINNAMINE
C02AA02;N;RESERPIN;RESERPINE
C02AA03;N;KOMBINACE RAUWOLFIOVÝCH ALKALOIDŮ;COMBINATIONS OF RAUWOLFIA ALKALOIDS
C02AA04;N;RAUWOLFIOVÝ KOŘEN;RAUWOLFIA ALKALOIDS, WHOLE ROOT
C02AA05;N;DESERPIDIN;DESERPIDINE
C02AA06;N;METHOSERPIDIN;METHOSERPIDINE
C02AA07;N;BIETASERPIN;BIETASERPINE
C02AA52;N;RESERPIN, KOMBINACE;RESERPINE, COMBINATIONS
C02AA53;N;RAUWOLFIOVÉ ALKALOIDY, KOMBINACE;COMBINATIONS OF RAUWOLFIA ALKOLOIDS, COMBINATIONS
C02AA57;N;BIETASERPIN, KOMBINACE;BIETASERPINE, COMBINATIONS
C02AB;N;METHYLDOPA;METHYLDOPA
C02AB01;N;METHYLDOPA (LEVOTOČIVÁ);METHYLDOPA (LEVOROTATORY)
C02AB02;N;METHYLDOPA (RACEMICKÁ);METHYLDOPA (RACEMIC)
C02AC;N;AGONISTÉ IMIDAZOLINOVÝCH RECEPTORŮ;IMIDAZOLINE RECEPTOR AGONISTS
C02AC01;N;KLONIDIN;CLONIDINE
C02AC02;N;GUANFACIN;GUANFACINE
C02AC04;N;TOLONIDIN;TOLONIDINE
C02AC05;N;MOXONIDIN;MOXONIDINE
C02AC06;N;RILMENIDIN;RILMENIDINE
C02B;N;ANTIADRENERGNÍ LÁTKY, GANGLIOPLEGIKA;ANTIADRENERGIC AGENTS, GANGLION-BLOCKING
C02BA;N;SULFONIOVÉ DERIVÁTY;SULFONIUM DERIVATIVES
C02BA01;N;TRIMETAFAN;TRIMETAPHAN
C02BB;N;SEKUNDÁRNÍ A TERCIÁRNÍ AMINY;SECONDARY AND TERTIARY AMINES
C02BB01;N;MEKAMYLAMIN;MECAMYLAMINE
C02BC;N;BISKVARTERNÍ AMONIOVÉ SLOUČENINY;BISQUATERNARY AMMONIUM COMPOUNDS
C02C;N;ANTIADRENERGNÍ LÁTKY, PERIFERNĚ PŮSOBÍCÍ;ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING
C02CA;N;BLOKÁTORY ALFA-ADRENERGNÍCH RECEPTORŮ;ALPHA-ADRENORECEPTOR ANTAGONISTS
C02CA01;N;PRAZOSIN;PRAZOSIN
C02CA02;N;INDORAMIN;INDORAMIN
C02CA03;N;TRIMAZOSIN;TRIMAZOSIN
C02CA04;N;DOXAZOSIN;DOXAZOSIN
C02CA06;N;URAPIDIL;URAPIDIL
C02CC;N;DERIVÁTY GUANIDINU;GUANIDINE DERIVATIVES
C02CC01;N;BETANIDIN;BETANIDINE
C02CC02;N;GUANETHIDIN;GUANETHIDINE
C02CC03;N;GUANOXAN;GUANOXAN
C02CC04;N;DEBRISOCHIN;DEBRISOQUINE
C02CC05;N;GUANOKLOR;GUANOCLOR
C02CC06;N;GUANAZODIN;GUANAZODINE
C02CC07;N;GUANOXABENZ;GUANOXABENZ
C02D;N;LÁTKY PŮSOBÍCÍ NA HLADKÉ SVALSTVO ARTERIOL;ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON
C02DA;N;THIAZIDOVÉ DERIVÁTY;THIAZIDE DERIVATIVES
C02DA01;N;DIAZOXID;DIAZOXIDE
C02DB;N;DERIVÁTY HYDRAZINOFTALAZINU;HYDRAZINOPHTHALAZINE DERIVATIVES
C02DB01;N;DIHYDRALAZIN;DIHYDRALAZINE
C02DB02;N;HYDRALAZIN;HYDRALAZINE
C02DB03;N;ENDRALAZIN;ENDRALAZINE
C02DB04;N;KADRALAZIN;CADRALAZINE
C02DC;N;DERIVÁTY PYRIMIDINU;PYRIMIDINE DERIVATIVES
C02DC01;N;MINOXIDIL;MINOXIDIL
C02DD;N;DERIVÁTY NITROFERIKYANIDU;NITROFERRICYANIDE DERIVATIVES
C02DD01;N;NITROPRUSID;NITROPRUSSIDE
C02DG;N;DERIVÁTY GUANIDINU;GUANIDINE DERIVATIVES
C02DG01;N;PINACIDIL;PINACIDIL
C02K;N;JINÁ ANTIHYPERTENZIVA;OTHER ANTIHYPERTENSIVES
C02KA;N;ALKALOIDY, KROMĚ RAUWOLFIOVÝCH;ALKALOIDS, EXCL. RAUWOLFIA
C02KA01;N;KÝCHAVICE;VERATRUM
C02KB;N;INHIBITORY TYROSINHYDROXYLASY;TYROSINE HYDROXYLASE INHIBITORS
C02KB01;N;METIROSIN;METIROSINE
C02KC;N;INHIBITORY MAO;MAO INHIBITORS
C02KC01;N;PARGYLIN;PARGYLINE
C02KD;N;ANTAGONISTÉ SEROTONINU;SEROTONIN ANTAGONISTS
C02KD01;N;KETANSERIN;KETANSERIN
C02KX;N;ANTIHYPERTENZIVA K LÉČBĚ PLICNÍ ARTERIÁLNÍ HYPERTENZE;ANTIHYPERTENSIVES FOR PULMONARY ARTERIAL HYPERTENSION
C02KX01;N;BOSENTAN;BOSENTAN
C02KX02;N;AMBRISENTAN;AMBRISENTAN
C02KX03;N;SITAXENTAN;SITAXENTAN
C02KX04;N;MACITENTAN;MACITENTAN
C02KX05;N;RIOCIGUÁT;RIOCIGUAT
C02KX52;N;AMBRISENTAN A TADALAFIL;AMBRISENTAN AND TADALAFIL
C02KX54;N;MACITENTAN A TADALAFIL;MACITENTAN AND TADALAFIL
C02L;N;ANTIHYPERTENZIVA A DIURETIKA V KOMBINACI;ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02LA;N;RAUWOLFIOVÉ ALKALOIDY A DIURETIKA V KOMBINACI;RAUWOLFIA ALKALOIDS AND DIURETICS IN COMBINATION
C02LA01;N;RESERPIN A DIURETIKA;RESERPINE AND DIURETICS
C02LA02;N;RESCINAMIN A DIURETIKA;RESCINNAMINE AND DIURETICS
C02LA03;N;DESERPIDIN A DIURETIKA;DESERPIDINE AND DIURETICS
C02LA04;N;METHOSERPIDIN A DIURETIKA;METHOSERPIDINE AND DIURETICS
C02LA07;N;BIETASERPIN A DIURETIKA;BIETASERPINE AND DIURETICS
C02LA08;N;RAUWOLFIOVÝ KOŘEN A DIURETIKA;RAUWOLFIA ALKALOIDS, WHOLE ROOT AND DIURETICS
C02LA09;N;SYROSINGOPIN A DIURETIKA;SYROSINGOPINE AND DIURETICS
C02LA50;N;KOMBINACE RAUWOLFIOVÝCH ALKALOIDŮ A DIURETIK, VČETNĚ JINÝCH KOMBINACÍ;COMBINATION OF RAUWOLFIA ALKALOIDS AND DIURETICS INCL. OTHER COMBINATIONS
C02LA51;N;RESERPIN A DIURETIKA, KOMBINACE S JINÝMI LÉČIVY;RESERPINE AND DIURETICS, COMBINATIONS WITH OTHER DRUGS
C02LA52;N;RESCINAMIN A DIURETIKA, KOMBINACE S JINÝMI LÉČIVY;RESCINNAMINE AND DIURETICS, COMBINATIONS WITH OTHER DRUGS
C02LA71;N;RESERPIN A DIURETIKA, KOMBINACE S PSYCHOLEPTIKY;RESERPINE AND DIURETICS, COMBINATIONS WITH PSYCHOLEPTICS
C02LB;N;METHYLDOPA A DIURETIKA V KOMBINACI;METHYLDOPA AND DIURETICS IN COMBINATION
C02LB01;N;METHYLDOPA (LEVOTOČIVÁ) A DIURETIKA;METHYLDOPA (LEVOROTATORY) AND DIURETICS
C02LC;N;AGONISTÉ IMIDAZOLINOVÝCH RECEPTORŮ V KOMBINACI S DIURETIKY;IMIDAZOLINE RECEPTOR AGONISTS IN COMBINATION WITH DIURETICS
C02LC01;N;KLONIDIN A DIURETIKA;CLONIDINE AND DIURETICS
C02LC05;N;MOXONIDIN A DIURETIKA;MOXONIDINE AND DIURETICS
C02LC51;N;KLONIDIN A DIURETIKA, KOMBINACE S JINÝMI LÉČIVY;CLONIDINE AND DIURETICS, COMBINATIONS WITH OTHER DRUGS
C02LE;N;BLOKÁTORY ALFA-ADRENERGNÍCH RECEPTORŮ A DIURETIKA;ALPHA-ADRENORECEPTOR ANTAGONISTS AND DIURETICS
C02LE01;N;PRAZOSIN A DIURETIKA;PRAZOSIN AND DIURETICS
C02LF;N;DERIVÁTY GUANIDINU A DIURETIKA;GUANIDINE DERIVATIVES AND DIURETICS
C02LF01;N;GUANETHIDIN A DIURETIKA;GUANETHIDINE AND DIURETICS
C02LG;N;DERIVÁTY HYDRAZINOFTALAZINU A DIURETIKA;HYDRAZINOPHTHALAZINE DERIVATIVES AND DIURETICS
C02LG01;N;DIHYDRALAZIN A DIURETIKA;DIHYDRALAZINE AND DIURETICS
C02LG02;N;HYDRALAZIN A DIURETIKA;HYDRALAZINE AND DIURETICS
C02LG03;N;PIKODRALAZIN A DIURETIKA;PICODRALAZINE AND DIURETICS
C02LG51;N;DIHYDRALAZIN A DIURETIKA, KOMBINACE S JINÝMI LÉČIVY;DIHYDRALAZINE AND DIURETICS, COMBINATIONS WITH OTHER DRUGS
C02LG73;N;PIKODRALAZIN A DIURETIKA, KOMBINACE S PSYCHOLEPTIKY;PICODRALAZINE AND DIURETICS, COMBINATIONS WITH PSYCHOLEPTICS
C02LK;N;ALKALOIDY, KROMĚ RAUWOLFIOVÝCH, V KOMBINACI S DIURETIKY;ALKALOIDS, EXCL. RAUWOLFIA, IN COMBINATION WITH DIURETICS
C02LK01;N;KÝCHAVICE A DIURETIKA;VERATRUM AND DIURETICS
C02LL;N;INHIBITORY MAO A DIURETIKA;MAO INHIBITORS AND DIURETICS
C02LL01;N;PARGYLIN A DIURETIKA;PARGYLINE AND DIURETICS
C02LN;N;ANTAGONISTÉ SEROTONINU A DIURETIKA;SEROTONIN ANTAGONISTS AND DIURETICS
C02LX;N;JINÁ ANTIHYPERTENZIVA A DIURETIKA;OTHER ANTIHYPERTENSIVES AND DIURETICS
C02LX01;N;PINACIDIL A DIURETIKA;PINACIDIL AND DIURETICS
C02N;N;KOMBINACE ANTIHYPERTENZIV Z ATC SKUPINY C02;COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02
C03;N;DIURETIKA;DIURETICS
C03A;N;DIURETIKA S NIŽŠÍM ÚČINKEM, THIAZIDY;LOW-CEILING DIURETICS, THIAZIDES
C03AA;N;THIAZIDY SAMOTNÉ;THIAZIDES, PLAIN
C03AA01;N;BENDROFLUMETHIAZID;BENDROFLUMETHIAZIDE
C03AA02;N;HYDROFLUMETHIAZID;HYDROFLUMETHIAZIDE
C03AA03;N;HYDROCHLOROTHIAZID;HYDROCHLOROTHIAZIDE
C03AA04;N;CHLOROTHIAZID;CHLOROTHIAZIDE
C03AA05;N;POLYTHIAZID;POLYTHIAZIDE
C03AA06;N;TRICHLORMETHIAZID;TRICHLORMETHIAZIDE
C03AA07;N;CYKLOPENTHIAZID;CYCLOPENTHIAZIDE
C03AA08;N;METHYKLOTHIAZID;METHYCLOTHIAZIDE
C03AA09;N;CYKLOTHIAZID;CYCLOTHIAZIDE
C03AA13;N;MEBUTIZID;MEBUTIZIDE
C03AB;N;THIAZIDY A KALIUM V KOMBINACI;THIAZIDES AND POTASSIUM IN COMBINATION
C03AB01;N;BENDROFLUMETHIAZID A KALIUM;BENDROFLUMETHIAZIDE AND POTASSIUM
C03AB02;N;HYDROFLUMETHIAZID A KALIUM;HYDROFLUMETHIAZIDE AND POTASSIUM
C03AB03;N;HYDROCHLOROTHIAZID A KALIUM;HYDROCHLOROTHIAZIDE AND POTASSIUM
C03AB04;N;CHLOROTHIAZID A KALIUM;CHLOROTHIAZIDE AND POTASSIUM
C03AB05;N;POLYTHIAZID A KALIUM;POLYTHIAZIDE AND POTASSIUM
C03AB06;N;TRICHLORMETHIAZID A KALIUM;TRICHLORMETHIAZIDE AND POTASSIUM
C03AB07;N;CYKLOPENTHIAZID A KALIUM;CYCLOPENTHIAZIDE AND POTASSIUM
C03AB08;N;METHYKLOTHIAZID A KALIUM;METHYCLOTHIAZIDE AND POTASSIUM
C03AB09;N;CYKLOTHIAZID A KALIUM;CYCLOTHIAZIDE AND POTASSIUM
C03AH;N;THIAZIDY, KOMBINACE S PSYCHOLEPTIKY A/NEBO ANALGETIKY;THIAZIDES, COMBINATIONS WITH PSYCHOLEPTICS AND/OR ANALGESICS
C03AH01;N;CHLOROTHIAZID, KOMBINACE;CHLOROTHIAZIDE, COMBINATIONS
C03AH02;N;HYDROFLUMETHIAZID, KOMBINACE;HYDROFLUMETHIAZIDE, COMBINATIONS
C03AX;N;THIAZIDY, KOMBINACE S JINÝMI LÉČIVY;THIAZIDES, COMBINATIONS WITH OTHER DRUGS
C03AX01;N;HYDROCHLOROTHIAZID, KOMBINACE;HYDROCHLOROTHIAZIDE, COMBINATIONS
C03B;N;JINÁ DIURETIKA S NIŽŠÍM ÚČINKEM, KROMĚ THIAZIDŮ;LOW-CEILING DIURETICS, EXCL. THIAZIDES
C03BA;N;SULFONAMIDY, SAMOTNÉ;SULFONAMIDES, PLAIN
C03BA02;N;CHINETHAZON;QUINETHAZONE
C03BA03;N;KLOPAMID;CLOPAMIDE
C03BA04;N;CHLORTALIDON;CHLORTALIDONE
C03BA05;N;MEFRUSID;MEFRUSIDE
C03BA07;N;KLOFENAMID;CLOFENAMIDE
C03BA08;N;METOLAZON;METOLAZONE
C03BA09;N;METIKRAN;METICRANE
C03BA10;N;XIPAMID;XIPAMIDE
C03BA11;N;INDAPAMID;INDAPAMIDE
C03BA12;N;KLOREXOLON;CLOREXOLONE
C03BA13;N;FENCHIZON;FENQUIZONE
C03BA82;N;KLOREXOLON, KOMBINACE S PSYCHOLEPTIKY;CLOREXOLONE, COMBINATIONS WITH PSYCHOLEPTICS
C03BB;N;SULFONAMIDY A KALIUM V KOMBINACI;SULFONAMIDES AND POTASSIUM IN COMBINATION
C03BB02;N;CHINETHAZON A KALIUM;QUINETHAZONE AND POTASSIUM
C03BB03;N;KLOPAMID A KALIUM;CLOPAMIDE AND POTASSIUM
C03BB04;N;CHLORTHALIDON A KALIUM;CHLORTALIDONE AND POTASSIUM
C03BB05;N;MEFRUSID A KALIUM;MEFRUSIDE AND POTASSIUM
C03BB07;N;KLOFENAMID A KALIUM;CLOFENAMIDE AND POTASSIUM
C03BC;N;RTUŤOVÁ DIURETIKA;MERCURIAL DIURETICS
C03BC01;N;MERSALYL;MERSALYL
C03BD;N;DERIVÁTY XANTHINU;XANTHINE DERIVATIVES
C03BD01;N;THEOBROMIN;THEOBROMINE
C03BK;N;SULFONAMIDY, KOMBINACE S JINÝMI LÉČIVY;SULFONAMIDES, COMBINATIONS WITH OTHER DRUGS
C03BX;N;JINÁ DIURETIKA S NIŽŠÍM ÚČINKEM;OTHER LOW-CEILING DIURETICS
C03BX03;N;CIKLETANIN;CICLETANINE
C03C;N;DIURETIKA S VYSOKÝM ÚČINKEM;HIGH-CEILING DIURETICS
C03CA;N;SULFONAMIDY, SAMOTNÉ;SULFONAMIDES, PLAIN
C03CA01;N;FUROSEMID;FUROSEMIDE
C03CA02;N;BUMETANID;BUMETANIDE
C03CA03;N;PIRETANID;PIRETANIDE
C03CA04;N;TORASEMID;TORASEMIDE
C03CB;N;SULFONAMIDY A KALIUM V KOMBINACI;SULFONAMIDES AND POTASSIUM IN COMBINATION
C03CB01;N;FUROSEMID A KALIUM;FUROSEMIDE AND POTASSIUM
C03CB02;N;BUMETANID A KALIUM;BUMETANIDE AND POTASSIUM
C03CC;N;DERIVÁTY KYSELINY ARYLOXYOCTOVÉ;ARYLOXYACETIC ACID DERIVATIVES
C03CC01;N;KYSELINA ETAKRYNOVÁ;ETACRYNIC ACID
C03CC02;N;KYSELINA TIENILOVÁ;TIENILIC ACID
C03CD;N;PYRAZOLONOVÉ DERIVÁTY;PYRAZOLONE DERIVATIVES
C03CD01;N;MUZOLIMIN;MUZOLIMINE
C03CX;N;JINÁ DIURETIKA S VYSOKÝM ÚČINKEM;OTHER HIGH-CEILING DIURETICS
C03CX01;N;ETOZOLIN;ETOZOLIN
C03D;N;ANTAGONISTÉ ALDOSTERONU A JINÁ KALIUM ŠETŘÍCÍ DIURETIKA;ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS
C03DA;N;ANTAGONISTÉ ALDOSTERONU;ALDOSTERONE ANTAGONISTS
C03DA01;N;SPIRONOLAKTON;SPIRONOLACTONE
C03DA02;N;KALIUM-KANRENOÁT;POTASSIUM CANRENOATE
C03DA03;N;KANRENON;CANRENONE
C03DA04;N;EPLERENON;EPLERENONE
C03DA05;N;FINERENON;FINERENONE
C03DB;N;JINÁ KALIUM ŠETŘÍCÍ DIURETIKA;OTHER POTASSIUM-SPARING AGENTS
C03DB01;N;AMILORID;AMILORIDE
C03DB02;N;TRIAMTEREN;TRIAMTERENE
C03E;N;DIURETIKA A KALIUM ŠETŘÍCÍ DIURETIKA V KOMBINACI;DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
C03EA;N;DIURETIKA S NIŽŠÍM ÚČINKEM A KALIUM ŠETŘÍCÍ DIURETIKA;LOW-CEILING DIURETICS AND POTASSIUM-SPARING AGENTS
C03EA01;N;HYDROCHLOROTHIAZID A KALIUM ŠETŘÍCÍ DIURETIKA;HYDROCHLOROTHIAZIDE AND POTASSIUM-SPARING AGENTS
C03EA02;N;TRICHLORMETHIAZID A KALIUM ŠETŘÍCÍ DIURETIKA;TRICHLORMETHIAZIDE AND POTASSIUM-SPARING AGENTS
C03EA03;N;EPITIZID A KALIUM ŠETŘÍCÍ DIURETIKA;EPITIZIDE AND POTASSIUM-SPARING AGENTS
C03EA04;N;ALTIZID A KALIUM ŠETŘÍCÍ DIURETIKA;ALTIZIDE AND POTASSIUM-SPARING AGENTS
C03EA05;N;MEBUTIZID A KALIUM ŠETŘÍCÍ DIURETIKA;MEBUTIZIDE AND POTASSIUM-SPARING AGENTS
C03EA06;N;CHLORTALIDON A KALIUM ŠETŘÍCÍ DIURETIKA;CHLORTALIDONE AND POTASSIUM-SPARING AGENTS
C03EA07;N;CYKLOPENTHIAZID A KALIUM ŠETŘÍCÍ DIURETIKA;CYCLOPENTHIAZIDE AND POTASSIUM-SPARING AGENTS
C03EA12;N;METOLAZON A KALIUM ŠETŘÍCÍ DIURETIKA;METOLAZONE AND POTASSIUM-SPARING AGENTS
C03EA13;N;BENDROFLUMETHIAZID A KALIUM ŠETŘÍCÍ DIURETIKA;BENDROFLUMETHIAZIDE AND POTASSIUM-SPARING AGENTS
C03EA14;N;BUTIZID A KALIUM ŠETŘÍCÍ DIURETIKA;BUTIZIDE AND POTASSIUM-SPARING AGENTS
C03EB;N;DIURETIKA S VYSOKÝM ÚČINKEM A KALIUM ŠETŘÍCÍ DIURETIKA;HIGH-CEILING DIURETICS AND POTASSIUM-SPARING AGENTS
C03EB01;N;FUROSEMID A KALIUM ŠETŘÍCÍ DIURETIKA;FUROSEMIDE AND POTASSIUM-SPARING AGENTS
C03EB02;N;BUMETANID A KALIUM ŠETŘÍCÍ DIURETIKA;BUMETANIDE AND POTASSIUM-SPARING AGENTS
C03X;N;JINÁ DIURETIKA;OTHER DIURETICS
C03XA;N;ANTAGONISTÉ VAZOPRESINU;VASOPRESSIN ANTAGONISTS
C03XA01;N;TOLVAPTAN;TOLVAPTAN
C03XA02;N;KONIVAPTAN;CONIVAPTAN
C04;N;PERIFERNÍ VAZODILATANCIA;PERIPHERAL VASODILATORS
C04A;N;PERIFERNÍ VAZODILATANCIA;PERIPHERAL VASODILATORS
C04AA;N;DERIVÁTY 2-AMINO-1-FENYLETHANOLU;2-AMINO-1-PHENYLETHANOL DERIVATIVES
C04AA01;N;ISOXSUPRIN;ISOXSUPRINE
C04AA02;N;BUFENIN;BUPHENINE
C04AA31;N;BAMETHAN;BAMETHAN
C04AB;N;IMIDAZOLOVÉ DERIVÁTY;IMIDAZOLINE DERIVATIVES
C04AB01;N;FENTOLAMIN;PHENTOLAMINE
C04AB02;N;TOLAZOLIN;TOLAZOLINE
C04AC;N;KYSELINA NIKOTINOVÁ A DERIVÁTY;NICOTINIC ACID AND DERIVATIVES
C04AC01;N;KYSELINA NIKOTINOVÁ;NICOTINIC ACID
C04AC02;N;NIKOTINYLALKOHOL (PYRIDINMETHANOL);NICOTINYL ALCOHOL (PYRIDYLCARBINOL)
C04AC03;N;INOSITOL-NIKOTINÁT;INOSITOL NICOTINATE
C04AC07;N;CIKLONIKÁT;CICLONICATE
C04AD;N;DERIVÁTY PURINU;PURINE DERIVATIVES
C04AD01;N;PENTIFYLIN;PENTIFYLLINE
C04AD02;N;XANTHINOL-NIKOTINÁT;XANTINOL NICOTINATE
C04AD03;N;PENTOXIFYLIN;PENTOXIFYLLINE
C04AD04;N;ETOFYLIN-NIKOTINÁT;ETOFYLLINE NICOTINATE
C04AE;N;NÁMELOVÉ ALKALOIDY;ERGOT ALKALOIDS
C04AE01;N;HYDROGENOVANÉ NÁMELOVÉ ALKALOIDY;ERGOLOID MESYLATES
C04AE02;N;NICERGOLIN;NICERGOLINE
C04AE04;N;DIHYDROERGOKRISTIN;DIHYDROERGOCRISTINE
C04AE51;N;HYDROGENOVANÉ NÁMELOVÉ ALKALOIDY, KOMBINACE;ERGOLOID MESYLATES, COMBINATIONS
C04AE54;N;DIHYDROERGOKRISTIN, KOMBINACE;DIHYDROERGOCRISTINE, COMBINATIONS
C04AF;N;ENZYMY;ENZYMES
C04AF01;N;KALIDINOGENASA;KALLIDINOGENASE
C04AX;N;JINÁ PERIFERNÍ VAZODILATANCIA;OTHER PERIPHERAL VASODILATORS
C04AX01;N;CYKLANDELÁT;CYCLANDELATE
C04AX02;N;FENOXYBENZAMIN;PHENOXYBENZAMINE
C04AX07;N;VINKAMIN;VINCAMINE
C04AX10;N;MOXISYLYT;MOXISYLYTE
C04AX11;N;BENCYKLAN;BENCYCLANE
C04AX17;N;VINBURNIN;VINBURNINE
C04AX19;N;SULOKTIDIL;SULOCTIDIL
C04AX20;N;BUFLOMEDIL;BUFLOMEDIL
C04AX21;N;NAFTIDROFURYL;NAFTIDROFURYL
C04AX23;N;BUTALAMIN;BUTALAMINE
C04AX24;N;VISNADIN;VISNADINE
C04AX26;N;CETIEDIL;CETIEDIL
C04AX27;N;CINEPAZID;CINEPAZIDE
C04AX28;N;IFENPRODIL;IFENPRODIL
C04AX30;N;AZAPETIN;AZAPETINE
C04AX32;N;FASUDIL;FASUDIL
C05;N;VAZOPROTEKTIVA, VENOFARMAKA;VASOPROTECTIVES
C05A;N;LÁTKY K TERAPII HEMOROIDŮ A ANÁLNÍCH FISUR PRO LOKÁLNÍ APLIKACI;AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AA;N;KORTIKOSTEROIDY;CORTICOSTEROIDS
C05AA01;N;HYDROKORTISON;HYDROCORTISONE
C05AA04;N;PREDNISOLON;PREDNISOLONE
C05AA05;N;BETAMETHASON;BETAMETHASONE
C05AA06;N;FLUORMETHOLON;FLUOROMETHOLONE
C05AA08;N;FLUOKORTOLON;FLUOCORTOLONE
C05AA09;N;DEXAMETHASON;DEXAMETHASONE
C05AA10;N;FLUOCINOLON-ACETONID;FLUOCINOLONE ACETONIDE
C05AA11;N;FLUOCINONID;FLUOCINONIDE
C05AA12;N;TRIAMCINOLON;TRIAMCINOLONE
C05AB;N;ANTIBIOTIKA;ANTIBIOTICS
C05AD;N;LOKÁLNÍ ANESTETIKA;LOCAL ANESTHETICS
C05AD01;N;LIDOKAIN;LIDOCAINE
C05AD02;N;TETRAKAIN;TETRACAINE
C05AD03;N;BENZOKAIN;BENZOCAINE
C05AD04;N;CINCHOKAIN;CINCHOCAINE
C05AD05;N;PROKAIN;PROCAINE
C05AD06;N;OXETAKAIN;OXETACAINE
C05AD07;N;PRAMOKAIN;PRAMOCAINE
C05AE;N;MYORELAXANCIA;MUSCLE RELAXANTS
C05AE01;N;GLYCEROL-TRINITRÁT;GLYCERYL TRINITRATE
C05AE02;N;ISOSORBID-DINITRÁT;ISOSORBIDE DINITRATE
C05AE03;N;DILTIAZEM;DILTIAZEM
C05AX;N;JINÉ LÁTKY K TERAPII HEMOROIDŮ A ANÁLNÍCH FISUR PRO LOKÁLNÍ APLIKACI;OTHER AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AX01;N;PŘÍPRAVKY OBSAHUJÍCÍ HLINÍK;ALUMINIUM PREPARATIONS
C05AX02;N;PŘÍPRAVKY OBSAHUJÍCÍ BISMUT, KOMBINACE;BISMUTH PREPARATIONS, COMBINATIONS
C05AX03;N;ANTIHEMOROIDIKA PRO LOKÁLNÍ APLIKACI, JINÉ PŘÍPRAVKY, KOMBINACE;OTHER PREPARATIONS, COMBINATIONS
C05AX04;N;PŘÍPRAVKY OBSAHUJÍCÍ ZINEK;ZINC PREPARATIONS
C05AX05;N;TRIBENOSID;TRIBENOSIDE
C05B;N;ANTIVARIKÓZNÍ TERAPIE;ANTIVARICOSE THERAPY
C05BA;N;HEPARINY A HEPARINOIDY PRO LOKÁLNÍ APLIKACI;HEPARINS OR HEPARINOIDS FOR TOPICAL USE
C05BA01;N;ORGANO-HEPARINOID;ORGANO-HEPARINOID
C05BA02;N;NATRIUM-APOLÁT;SODIUM APOLATE
C05BA03;N;HEPARIN;HEPARIN
C05BA04;N;NATRIUM-PENTOSAN-POLYSULFÁT;PENTOSAN POLYSULFATE SODIUM
C05BA51;N;HEPARINOIDY, KOMBINACE;HEPARINOID, COMBINATIONS
C05BA53;N;HEPARIN, KOMBINACE;HEPARIN, COMBINATIONS
C05BB;N;SKLEROTIZUJÍCÍ LÁTKY K LOKÁLNÍ INJEKCI;SCLEROSING AGENTS FOR LOCAL INJECTION
C05BB01;N;MONOETHANOLAMIN-OLEÁT;MONOETHANOLAMINE OLEATE
C05BB02;N;LAUROMAKROGOL 400 (POLIDOKANOL);POLIDOCANOL
C05BB03;N;INVERTOSA;INVERT SUGAR
C05BB04;N;NATRIUM-TETRADECYL-SULFÁT;SODIUM TETRADECYL SULFATE
C05BB05;N;FENOL;PHENOL
C05BB56;N;GLUKOSA, KOMBINACE;GLUCOSE, COMBINATIONS
C05BX;N;JINÉ SKLEROTIZUJÍCÍ LÁTKY;OTHER SCLEROSING AGENTS
C05BX01;N;KALCIUM-DOBESILÁT;CALCIUM DOBESILATE
C05BX51;N;KALCIUM-DOBESILÁT, KOMBINACE;CALCIUM DOBESILATE, COMBINATIONS
C05C;N;LÁTKY STABILIZUJÍCÍ KAPILÁRY;CAPILLARY STABILIZING AGENTS
C05CA;N;BIOFLAVONOIDY;BIOFLAVONOIDS
C05CA01;N;RUTOSID;RUTOSIDE
C05CA02;N;MONOXERUTIN;MONOXERUTIN
C05CA03;N;DIOSMIN;DIOSMIN
C05CA04;N;TROXERUTIN;TROXERUTIN
C05CA05;N;HIDROSMIN;HIDROSMIN
C05CA51;N;RUTOSID, KOMBINACE;RUTOSIDE, COMBINATIONS
C05CA53;N;DIOSMIN, KOMBINACE;DIOSMIN, COMBINATIONS
C05CA54;N;TROXERUTIN, KOMBINACE;TROXERUTIN, COMBINATIONS
C05CX;N;JINÉ KAPILÁRY STABILIZUJÍCÍ LÁTKY;OTHER CAPILLARY STABILIZING AGENTS
C05CX01;N;TRIBENOSID;TRIBENOSIDE
C05CX02;N;NAFTAZON;NAFTAZONE
C05CX03;N;JÍROVCOVÉ SEMENO;HIPPOCASTANI SEMEN
C07;N;BETA-BLOKÁTORY;BETA BLOCKING AGENTS
C07A;N;BETA-BLOKÁTORY;BETA BLOCKING AGENTS
C07AA;N;BETA-BLOKÁTORY NESELEKTIVNÍ;BETA BLOCKING AGENTS, NON-SELECTIVE
C07AA01;N;ALPRENOLOL;ALPRENOLOL
C07AA02;N;OXPRENOLOL;OXPRENOLOL
